"GEO_ID","NAME","B19001_001E","B19001_001EA","B19001_001M","B19001_001MA","B19001_002E","B19001_002EA","B19001_002M","B19001_002MA","B19001_003E","B19001_003M","B19001_003MA","B19001_003EA","B19001_004E","B19001_004EA","B19001_004M","B19001_004MA","B19001_005E","B19001_005EA","B19001_005M","B19001_005MA","B19001_006E","B19001_006EA","B19001_006M","B19001_006MA","B19001_007E","B19001_007EA","B19001_007M","B19001_007MA","B19001_008E","B19001_008M","B19001_008MA","B19001_008EA","B19001_009E","B19001_009EA","B19001_009M","B19001_009MA","B19001_010E","B19001_010EA","B19001_010M","B19001_010MA","B19001_011E","B19001_011M","B19001_011MA","B19001_011EA","B19001_012E","B19001_012EA","B19001_012M","B19001_012MA","B19001_013E","B19001_013EA","B19001_013M","B19001_013MA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015EA","B19001_015M","B19001_015MA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017M","B19001_017MA","B19001_017EA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Annotation of Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Annotation of Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Annotation of Margin of Error!!Total:!!$10,000 to $14,999","Annotation of Estimate!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Annotation of Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Annotation of Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Annotation of Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Annotation of Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Annotation of Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Annotation of Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Annotation of Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Annotation of Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Annotation of Margin of Error!!Total:!!$35,000 to $39,999","Annotation of Estimate!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Annotation of Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Annotation of Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Annotation of Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Annotation of Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Annotation of Margin of Error!!Total:!!$50,000 to $59,999","Annotation of Estimate!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Annotation of Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Annotation of Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Annotation of Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Annotation of Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Annotation of Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Annotation of Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Annotation of Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Annotation of Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Annotation of Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Annotation of Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more","Annotation of Margin of Error!!Total:!!$200,000 or more","Annotation of Estimate!!Total:!!$200,000 or more",
"1500000US130019501001","Block Group 1, Census Tract 9501, Appling County, Georgia","475","null","145","null","18","null","25","null","20","22","null","null","29","null","39","null","84","null","85","null","110","null","102","null","25","null","29","null","6","11","null","null","17","null","20","null","14","null","15","null","8","14","null","null","16","null","20","null","37","null","43","null","7","null","12","null","49","null","48","null","26","null","35","null","9","14","null","null",
"1500000US130019501002","Block Group 2, Census Tract 9501, Appling County, Georgia","150","null","65","null","0","null","14","null","7","11","null","null","0","null","14","null","4","null","12","null","6","null","14","null","9","null","14","null","0","14","null","null","0","null","14","null","0","null","14","null","0","14","null","null","20","null","16","null","31","null","33","null","47","null","56","null","26","null","36","null","0","null","14","null","0","14","null","null",
"1500000US130019501003","Block Group 3, Census Tract 9501, Appling County, Georgia","555","null","143","null","56","null","63","null","20","24","null","null","16","null","27","null","10","null","15","null","18","null","30","null","21","null","32","null","0","14","null","null","19","null","30","null","0","null","14","null","79","80","null","null","73","null","56","null","106","null","87","null","43","null","42","null","19","null","17","null","33","null","51","null","42","40","null","null",
"1500000US130019502011","Block Group 1, Census Tract 9502.01, Appling County, Georgia","515","null","131","null","73","null","102","null","4","11","null","null","8","null","14","null","109","null","70","null","26","null","34","null","23","null","25","null","0","14","null","null","11","null","12","null","36","null","52","null","65","70","null","null","62","null","54","null","41","null","49","null","23","null","21","null","0","null","14","null","27","null","29","null","7","12","null","null",
"1500000US130019502012","Block Group 2, Census Tract 9502.01, Appling County, Georgia","419","null","150","null","47","null","50","null","127","132","null","null","0","null","14","null","10","null","17","null","0","null","14","null","21","null","26","null","18","18","null","null","31","null","42","null","15","null","25","null","32","32","null","null","45","null","53","null","39","null","35","null","0","null","14","null","0","null","14","null","28","null","32","null","6","11","null","null",
"1500000US130019502021","Block Group 1, Census Tract 9502.02, Appling County, Georgia","447","null","157","null","0","null","14","null","9","15","null","null","77","null","77","null","172","null","108","null","9","null","14","null","42","null","56","null","19","22","null","null","0","null","14","null","14","null","21","null","13","23","null","null","14","null","22","null","42","null","56","null","29","null","34","null","7","null","15","null","0","null","14","null","0","14","null","null",
"1500000US130019502022","Block Group 2, Census Tract 9502.02, Appling County, Georgia","374","null","126","null","63","null","46","null","16","19","null","null","18","null","31","null","49","null","50","null","38","null","48","null","15","null","22","null","0","14","null","null","0","null","14","null","29","null","38","null","100","84","null","null","17","null","16","null","0","null","14","null","0","null","14","null","0","null","14","null","29","null","59","null","0","14","null","null",
"1500000US130019503011","Block Group 1, Census Tract 9503.01, Appling County, Georgia","581","null","221","null","28","null","33","null","19","32","null","null","41","null","53","null","174","null","125","null","15","null","24","null","0","null","14","null","50","61","null","null","0","null","14","null","0","null","14","null","41","51","null","null","38","null","45","null","0","null","14","null","160","null","174","null","15","null","25","null","0","null","14","null","0","14","null","null",
"1500000US130019503012","Block Group 2, Census Tract 9503.01, Appling County, Georgia","494","null","139","null","0","null","14","null","40","67","null","null","58","null","62","null","0","null","14","null","43","null","52","null","22","null","36","null","10","17","null","null","16","null","31","null","46","null","55","null","6","11","null","null","49","null","64","null","27","null","32","null","52","null","61","null","51","null","46","null","74","null","61","null","0","14","null","null",
