district,name,party,votes,incumbent
14,Marjorie Taylor Greene,R,169987,True
14,Marcus Flowers,D,88018,False
10,Mike Collins,R,198413,False
10,Green,D,109074,False
12,Rick Allen,R,157936,True
12,Liz Johnson,D,107079,False
7,Lucy McBath,D,143063,True
7,Mark Gonsalves,R,91262,False
13,David Scott,D,215703,True
13,Caesar Gonzales,R,48129,False
6,Rich McCormick,R,202715,False
6,Bob Christian,D,122053,False
11,Barry Loudermilk,R,189416,True
11,Antonio Daza,D,112722,False
2,Sanford Bishop,D,132249,True
2,Chris West,R,108267,False
3,Drew Ferguson,R,213453,True
3,Val Almonord,D,96788,False
4,Hank Johnson,D,215815,True
4,Jonathan Chavez,R,59210,False
1,Buddy Carter,R,156015,True
1,Wade Herring,D,107659,False
9,Andrew Clyde,R,212667,True
9,Michael Ford,D,81203,False
5,Nikema Williams,D,242704,True
5,Christian Zimm,R,51594,False
8,Austin Scott,R,178560,True
8,Darrius Butler,D,81733,False
