district,name,party,votes,incumbent
7,Danny K. Davis,D,167650,TRUE
8,Raja Krishnamoorthi,D,112042,TRUE
8,Chris Dargis,R,87143,FALSE
4,Chuy García,D,91036,TRUE
4,James Falakos,R,37352,FALSE
1,Jonathan Jackson,D,159142,FALSE
1,Eric Carlson,R,78258,FALSE
10,Brad Schneider,D,140059,TRUE
10,Joseph Severino,R,80642,FALSE
12,Mike Bost,R,135111,TRUE
12,Homer Markel,D,46434,FALSE
13,Nikki Budzinski,D,129243,FALSE
13,Regan Deering,R,106853,FALSE
5,Mike Quigley,D,162706,TRUE
5,Tom Hanson,R,73331,FALSE
11,Bill Foster,D,149172,TRUE
11,Catalina Lauf,R,115069,FALSE
17,Eric Sorensen,D,119450,FALSE
17,Esther Joy King,R,111378,FALSE
2,Robin Kelly,D,127650,TRUE
2,Thomas Lynch,R,60834,FALSE
15,Mary Miller,R,124494,TRUE
15,Paul Lange,D,52098,FALSE
6,Sean Casten,D,150496,TRUE
6,Keith Pekau,R,126351,FALSE
14,Lauren Underwood,D,124628,TRUE
14,Scott Gryder,R,107247,FALSE
9,Jan Schakowsky,D,144748,TRUE
9,Max Rice,R,56055,FALSE
3,Delia Ramirez,D,108570,FALSE
3,Justin Burau,R,54147,FALSE
16,Darin LaHood,R,158795,TRUE
16,Elizabeth Haderlein,D,79705,FALSE
