district,name,party,votes,incumbent
19,Marcus Molinaro,R,142923,FALSE
19,Josh Riley,D,136789,FALSE
20,Paul Tonko,D,156355,TRUE
20,Elizabeth Joy,R,128970,FALSE
26,Brian Higgins,D,152983,TRUE
26,Steven Sams,R,86822,FALSE
17,Michael Lawler,R,140883,FALSE
17,Sean Maloney,D,137633,TRUE
3,Santos,R,142017,FALSE
3,Robert Zimmerman,D,120060,FALSE
15,Ritchie Torres,D,72610,TRUE
15,Stylo A. Sapaskis,R,15265,FALSE
11,Nicole Malliotakis,R,124902,TRUE
11,Max Rose,D,80093,FALSE
24,Claudia Tenney,R,177901,TRUE
24,Steven Holden,D,91703,FALSE
9,Yvette D. Clarke,D,111162,TRUE
9,Menachem Raitport,R,24143,FALSE
4,Esposito,R,137899,FALSE
4,Laura Gillen,D,127748,FALSE
7,Nydia Velazquez,D,134066,TRUE
7,Juan Pagan,R,30262,FALSE
1,Nicholas J. LaLota,R,173275,FALSE
1,Bridget M. Fleming,D,136899,FALSE
10,Daniel Goldman,D,197202,FALSE
10,Benine Hamdan,R,34646,FALSE
6,Grace Meng,D,79506,TRUE
6,Thomas Zmich,R,46188,FALSE
5,Gregory W. Meeks,D,97981,TRUE
5,Paul King,R,32393,FALSE
22,Brandon Williams,R,132762,FALSE
22,Francis Conole,D,128837,FALSE
16,Jamaal Bowman,D,125727,TRUE
16,Miriam Levitt Flisser,R,69722,FALSE
18,Pat Ryan,D,131460,TRUE
18,Colin Schmitt,R,129379,FALSE
8,Hakeem Jeffries,D,93295,TRUE
8,Yuri Dashevsky,R,35486,FALSE
23,Nicholas A. Langworthy,R,189022,FALSE
23,Max Della Pia,D,101643,FALSE
13,Adriano Espaillat,D,116589,TRUE
14,Cortez,D,117575,TRUE
14,Tina Forte,R,44240,FALSE
21,Elise Stefanik,R,164054,TRUE
21,Matt Castelli,D,110483,FALSE
2,Andrew Garbarino,R,148613,TRUE
2,Jackie Gordon,D,95183,FALSE
25,Joseph Morelle,D,148681,TRUE
25,Ron Singletary,R,128502,FALSE
12,Jerrold Nadler,D,186357,TRUE
12,Mike Zumbluskas,R,41264,FALSE
