name,party,geoid20
Andrew Garbarino,R,36103000008
Gregory W. Meeks,D,36081000034
Grace Meng,D,36081001017
Nydia Velázquez,D,36047001202
Hakeem Jeffries,D,36047001219
Yvette Clarke,D,36047000019
Nicole Malliotakis,R,36047000519
Jerrold Nadler,D,36061000903
Adriano Espaillat,D,36061000385
Alexandria Ocasio-Cortez,D,36005000464
Ritchie Torres,D,36005000680
Jamaal Bowman,D,36119000375
Sean Patrick Maloney,D,36079000020
Pat Ryan,D,36027000027
Paul Tonko,D,36001000258
Elise Stefanik,R,36019000046
Claudia Tenney,R,36075000006
Joseph Morelle,D,36055000797
Brian Higgins,D,36029000493
