year,state,district,name,party,votes,incumbent
2022,New York,19,Marcus Molinaro,R / Conservative Party,142923,False
2022,New York,19,Josh Riley,D / Working Families Party,136789,False
2022,New York,19,,Other,100,False
2022,New York,20,Paul Tonko,D / Working Families Party,156355,True
2022,New York,20,Elizabeth Joy,R / Conservative Party,128970,False
2022,New York,20,,Other,138,False
2022,New York,26,Brian Higgins,D / Working Families Party,152983,True
2022,New York,26,Steven Sams,R / Conservative Party,86822,False
2022,New York,26,,Other,146,False
2022,New York,17,Michael Lawler,R / Conservative Party,140883,False
2022,New York,17,Sean Maloney,D / Working Families Party,137633,True
2022,New York,17,,Other,145,False
2022,New York,3,Santos,R / Conservative Party,142017,False
2022,New York,3,Robert Zimmerman,D / Working Families Party,120060,False
2022,New York,3,,Other,92,False
2022,New York,15,Ritchie Torres,D,72610,True
2022,New York,15,Stylo A. Sapaskis,R,15265,False
2022,New York,11,Nicole Malliotakis,R / Conservative Party,124902,True
2022,New York,11,Max Rose,D,80093,False
2022,New York,24,Claudia Tenney,R / Conservative Party,177901,True
2022,New York,24,Steven Holden,D,91703,False
2022,New York,24,,Other,164,False
2022,New York,9,Yvette D. Clarke,D / Working Families Party,111162,True
2022,New York,9,Menachem Raitport,Conservative Party,24143,False
2022,New York,9,,Other,340,False
2022,New York,4,Esposito,R / Conservative Party,137899,False
2022,New York,4,Laura Gillen,D,127748,False
2022,New York,4,,Other,66,False
2022,New York,7,Nydia Velazquez,D / Working Families Party,134066,True
2022,New York,7,Juan Pagan,R / Conservative Party,30262,False
2022,New York,7,,Other,216,False
2022,New York,1,Nicholas J. LaLota,R / Conservative Party,173275,False
2022,New York,1,Bridget M. Fleming,D / Working Families Party,136899,False
2022,New York,1,,Other,298,False
2022,New York,10,Daniel Goldman,D,197202,False
2022,New York,10,Benine Hamdan,R / Conservative Party,34646,False
2022,New York,10,Steve Speer,Medical Freedom Party,1863,False
2022,New York,6,Grace Meng,D,79506,True
2022,New York,6,Thomas Zmich,R / Conservative Party / Medical Freedom Party,46188,False
2022,New York,6,,Other,117,False
2022,New York,5,Gregory W. Meeks,D,97981,True
2022,New York,5,Paul King,R / Conservative Party,32393,False
2022,New York,22,Brandon Williams,R / Conservative Party,132762,False
2022,New York,22,Francis Conole,D,128837,False
2022,New York,22,,Other,152,False
2022,New York,16,Jamaal Bowman,D / Working Families Party,125727,True
2022,New York,16,Miriam Levitt Flisser,R,69722,False
2022,New York,16,,Other,144,False
2022,New York,18,Pat Ryan,D / Working Families Party,131460,True
2022,New York,18,Colin Schmitt,R / Conservative Party,129379,False
2022,New York,18,,Other,148,False
2022,New York,8,Hakeem Jeffries,D,93295,True
2022,New York,8,Yuri Dashevsky,R / Conservative Party,35486,False
2022,New York,8,,Other,173,False
2022,New York,23,Nicholas A. Langworthy,R / Conservative Party,189022,False
2022,New York,23,Max Della Pia,D,101643,False
2022,New York,23,,Other,218,False
2022,New York,13,Adriano Espaillat,D,116589,True
2022,New York,13,Odell Patterson,Independent,0,False
2022,New York,13,,Other,1257,False
2022,New York,14,Cortez,D / Working Families Party,117575,True
2022,New York,14,Tina Forte,R,44240,False
2022,New York,14,Desi Cuellar,Conservative Party,3118,False
2022,New York,21,Elise Stefanik,R / Conservative Party,164054,True
2022,New York,21,Matt Castelli,D / Moderate Party,110483,False
2022,New York,21,,Other,96,False
2022,New York,2,Andrew Garbarino,R / Conservative Party,148613,True
2022,New York,2,Jackie Gordon,D / Working Families Party,95183,False
2022,New York,2,,Other,317,False
2022,New York,25,Joseph Morelle,D / Working Families Party,148681,True
2022,New York,25,Ron Singletary,R / Conservative Party,128502,False
2022,New York,25,,Other,125,False
2022,New York,12,Jerrold Nadler,D / Working Families Party,186357,True
2022,New York,12,Mike Zumbluskas,R / Conservative Party / Parent Party,41264,False
2022,New York,12,Mikhail Itkis,Itkis Campaign,583,False
2022,Georgia,14,Marjorie Taylor Greene,R,169987,True
2022,Georgia,14,Marcus Flowers,D,88018,False
2022,Georgia,10,Mike Collins,R,198413,False
2022,Georgia,10,Green,D,109074,False
2022,Georgia,12,Rick Allen,R,157936,True
2022,Georgia,12,Liz Johnson,D,107079,False
2022,Georgia,7,Lucy McBath,D,143063,True
2022,Georgia,7,Mark Gonsalves,R,91262,False
2022,Georgia,7,Lisa Babbage,R,14,False
2022,Georgia,13,David Scott,D,215703,True
2022,Georgia,13,Caesar Gonzales,R,48129,False
2022,Georgia,6,Rich McCormick,R,202715,False
2022,Georgia,6,Bob Christian,D,122053,False
2022,Georgia,11,Barry Loudermilk,R,189416,True
2022,Georgia,11,Antonio Daza,D,112722,False
2022,Georgia,2,Sanford Bishop Jr.,D,132249,True
2022,Georgia,2,Chris West,R,108267,False
2022,Georgia,3,Drew Ferguson,R,213453,True
2022,Georgia,3,Val Almonord,D,96788,False
2022,Georgia,4,Hank Johnson,D,215815,True
2022,Georgia,4,Jonathan Chavez,R,59210,False
2022,Georgia,1,Earl Carter,R,156015,True
2022,Georgia,1,Wade Herring,D,107659,False
2022,Georgia,9,Andrew Clyde,R,212667,True
2022,Georgia,9,Michael Ford,D,81203,False
2022,Georgia,5,Nikema Williams,D,242704,True
2022,Georgia,5,Christian Zimm,R,51594,False
2022,Georgia,8,Austin Scott,R,178560,True
2022,Georgia,8,Darrius Butler,D,81733,False
2022,Illinois,7,Danny K. Davis,D,167650,True
2022,Illinois,7,Chad Koppie,Independent,83,False
2022,Illinois,7,Roger Romanelli,Independent,10,False
2022,Illinois,7,Joshua Loyd,Independent,3,False
2022,Illinois,8,Raja Krishnamoorthi,D,112042,True
2022,Illinois,8,Chris Dargis,R,87143,False
2022,Illinois,4,Jesus Garcia,D,91036,True
2022,Illinois,4,James Falakos,R,37352,False
2022,Illinois,4,Ed Hershey,Working Class Party,4605,False
2022,Illinois,4,Alicia Martinez,Independent,54,False
2022,Illinois,1,Jonathan Jackson,D,159142,False
2022,Illinois,1,Eric Carlson,R,78258,False
2022,Illinois,1,Tori Nicholson,Independent,13,False
2022,Illinois,1,Babette Peyton,Independent,12,False
2022,Illinois,10,Brad Schneider,D,140059,True
2022,Illinois,10,Joseph Severino,R,80642,False
2022,Illinois,12,Mike Bost,R,135111,True
2022,Illinois,12,Homer Markel,D,46434,False
2022,Illinois,13,Nikki Budzinski,D,129243,False
2022,Illinois,13,Regan Deering,R,106853,False
2022,Illinois,5,Mike Quigley,D,162706,True
2022,Illinois,5,Tom Hanson,R,73331,False
2022,Illinois,5,Jerico Matias Cruz,Independent,3920,False
2022,Illinois,11,Bill Foster,D,149172,True
2022,Illinois,11,Catalina Lauf,R,115069,False
2022,Illinois,11,Donald Wagner,Independent,0,False
2022,Illinois,17,Eric Sorensen,D,119450,False
2022,Illinois,17,Esther Joy King,R,111378,False
2022,Illinois,2,Robin Kelly,D,127650,True
2022,Illinois,2,Thomas Lynch,R,60834,False
2022,Illinois,15,Mary Miller,R,124494,True
2022,Illinois,15,Paul Lange,D,52098,False
2022,Illinois,6,Sean Casten,D,150496,True
2022,Illinois,6,Keith Pekau,R,126351,False
2022,Illinois,6,Arthur Jones,Independent,12,False
2022,Illinois,14,Lauren Underwood,D,124628,True
2022,Illinois,14,Scott Gryder,R,107247,False
2022,Illinois,9,Jan Schakowsky,D,144748,True
2022,Illinois,9,Max Rice,R,56055,False
2022,Illinois,3,Delia Ramirez,D,108570,False
2022,Illinois,3,Justin Burau,R,54147,False
2022,Illinois,16,Darin LaHood,R,158795,True
2022,Illinois,16,Elizabeth Haderlein,D,79705,False
2020,New York,12,Carolyn B. Maloney,D,265172,True
2020,New York,12,Cano,R / Conservative Party,53061,False
2020,New York,12,Steven Kolln,L,4015,False
2020,New York,12,,Other,773,False
2020,New York,17,Mondaire Jones,D / Working Families Party,197353,False
2020,New York,17,Maureen McArdle Schulman,R,117307,False
2020,New York,17,Yehudis Gottesfeld,Conservative Party,8887,False
2020,New York,17,Joshua Eisen,ECL Party,6363,False
2020,New York,17,Michael Parietti,Serve America Movement Party,2745,False
2020,New York,17,,Other,197,False
2020,New York,15,Ritchie Torres,D,169533,False
2020,New York,15,Patrick Delices,R / Conservative Party,21221,False
2020,New York,15,,Other,283,False
2020,New York,5,Gregory W. Meeks,D,229125,True
2020,New York,5,,Other,1554,False
2020,New York,27,Christopher Jacobs,R / Conservative Party / Independence Party,229044,True
2020,New York,27,Nate McMurray,D / Working Families Party,149559,False
2020,New York,27,Duane Whitmer,L,4884,False
2020,New York,27,,Other,121,False
2020,New York,7,Nydia Velazquez,D / Working Families Party,191073,True
2020,New York,7,Brian Kelly,R / Conservative Party,32520,False
2020,New York,7,Gilbert Midonnet,L,1522,False
2020,New York,7,,Other,338,False
